Measurement Start time (24hr time),Pressure (bar),Flux 0 (LMH),Flux 1 (LMH),Flux 2 (LMH)
15:46:00,2.068428,2661.4464827613883,2682.383736305494,2592.643115811185
15:47:00,2.068428,2664.0560981172534,2714.103677757729,2607.3732760662115
15:48:00,2.068428,2654.9370842609515,2704.090655461154,2589.2896251556385
15:49:00,2.068428,2652.8259807468835,2697.4884304689595,2581.579780128652
15:50:00,2.068428,2640.5109688736998,2688.547379018709,2520.778496218578
15:51:00,2.068428,2633.1512604185,2694.564975873464,2583.2095135906566
15:52:00,2.068428,2637.285659594724,2682.529912959127,2568.479218727618
15:53:00,2.068428,2622.1557905633863,2676.1955825821283,2537.4518584605867
15:54:00,2.068428,2609.8994012144994,2656.413287820503,2552.526749963096
15:55:00,2.068428,2607.0258270811837,2667.4982024862893,2537.8279533865843
15:56:00,2.068428,2563.1317869963364,2657.9237886277283,2534.631112863559
15:57:00,2.068428,2598.581381541378,2657.3877639659772,2530.337384893013
15:58:00,2.068428,2586.6475105268773,2649.68926638965,2522.2201822175703
15:59:00,2.068428,2557.707345965947,2643.69599743181,2517.0802406634725
16:00:00,2.068428,2573.1009533892934,2641.016214190717,2516.860795870023
16:01:00,2.068428,2573.7168047305654,2631.100634276895,2502.0053155090504
16:02:00,2.068428,2558.4696276834193,2586.224898634046,2492.383632173443
16:03:00,2.068428,2546.271986793342,2619.7721267337743,2488.8421277069865
16:04:00,2.068428,2555.156353134369,2617.628158882145,2438.9786911133187
16:05:00,2.068428,2530.7315397065972,2611.854311858905,2471.729909529892
16:06:00,2.068428,2536.8891400941216,2612.560814912088,2473.9552836674893
16:07:00,2.068428,2534.8658129483442,2599.1614278441775,2468.3137588214404
16:08:00,2.068428,2526.861193758742,2587.3211973772227,2448.9765703308976
16:09:00,2.068428,2451.3878421094732,2586.127508569372,2446.03043732389
16:10:00,2.068428,2491.6167780487817,2582.6436490971596,2442.2695890198765
16:11:00,2.068428,2487.951673903062,2614.0956174571575,2437.5370051143627
16:12:00,2.068428,-95045.22974652748,-9930.493725551683,2426.3484166298995
16:13:00,2.068428,2455.52217831849,-51350.77797383536,-72001.16278041383
16:14:00,2.068428,2466.0484790775636,2565.9066053697857,2412.6524164653274
16:15:00,2.068428,2461.7676180415265,2557.574640749,2411.4928016608405
16:16:00,2.068428,2462.1195106053665,2548.48741264508,2387.015570660245
16:17:00,2.068428,2452.531296169371,2541.5441785517787,2397.326716490764
16:18:00,2.068428,2443.2071349617127,2539.643855895634,2393.1896723047516
16:19:00,2.068428,2457.574659308254,2541.641542457473,2396.0418152323336
16:20:00,2.068428,2442.620752300724,2493.6474936126665,2396.5118665858
16:21:00,2.068428,2438.574349878187,2528.6563574535476,2381.186166611236
16:22:00,2.068428,2447.7519232915147,2520.348746888703,2337.9671185797088
16:23:00,2.068428,2431.449288938235,2522.541396693098,2373.006202926705
16:24:00,2.068428,2433.7656342545833,2512.08987059472,2361.535442291681
16:25:00,2.068428,2425.8782286298892,2510.6037500024704,2362.224837482695
16:26:00,2.068428,2415.9382475645575,2506.291564879436,2362.3816895272726
16:27:00,2.068428,2411.305336546518,2507.8507999574877,2353.292818554182
16:28:00,2.068428,2408.783843878854,2495.109181671843,2337.9357549011847
16:29:00,2.068428,2396.08759669607,2491.503604238141,2334.3628531041377
16:30:00,2.068428,2395.4426229944056,2492.965266138265,2304.495073989627
16:31:00,2.068428,2357.823113509342,2487.118252311136,2334.206236623719
16:32:00,2.068428,2384.6230207121625,2481.0520781397,2333.3913194146576
16:33:00,2.068428,2382.7170645495007,2455.9099553056303,2328.3767989226617
16:34:00,2.068428,2379.5503777947674,2473.1341847877616,2318.8178092921257
16:35:00,2.068428,2371.6335979406904,2471.160930758887,2314.1792827700633
16:36:00,2.068428,2371.0178095666615,2433.228429209276,2314.8375498466216
16:37:00,2.068428,2357.764553952307,2455.4958317187306,2306.751576241625
16:38:00,2.068428,2360.725998904796,2456.5190159760873,2308.9454520925947
16:39:00,2.068428,2355.2721836449527,2450.842532858469,2304.5264376680966
16:40:00,2.068428,2345.8600571673055,2440.927031421824,2296.126961886038
16:41:00,2.068428,2286.806773821701,2444.0210690448635,2291.582560051559
16:42:00,2.068428,2344.716445689322,2431.157602002501,2282.337038946074
16:43:00,2.068428,2334.9231153855594,2429.257410141449,2287.069488243574
16:44:00,2.068428,2332.2842517347804,2429.45226874792,2270.615537143002
16:45:00,2.068428,2318.2099344605035,2420.194562252522,2272.5273417995477
16:46:00,2.068428,2316.714556353221,2414.9078486659346,2222.319207610446
